Title,Author,Released,Purchased,Medium,Type,Category,Methodology,Theme1,Theme2,Theme3,Theme4,Theme5
My Vision,HH Sheikh Mohammed bin Rashid Al Maktoum,2012,2025-02-10,Kindle,Knowledge,Psychology,,identity,ethics,human-behavior,,
Good Energy,Casey Means MD & Calley Means,2024,2025-02-02,Audible,Knowledge,Health,,health,human-behavior,systems-thinking,,
The Ending of Time,Jiddu Krishnamurti,1985,2025-02-01,Audible,Knowledge,Leadership,,leadership,strategy,civilization,,
Silva Mind Control Method,José Silva & Philip Miele,1977,2025-01-31,Audible,Knowledge,Health,,health,human-behavior,systems-thinking,,
The Story of Philosophy,Will Durant,1926,2025-01-31,Audible,Knowledge,Eastern Philosophy,,consciousness,identity,ethics,,
A Line in the Sand,James Barr,2011,2025-01-31,Audible,Knowledge,Consciousness,,consciousness,human-behavior,identity,,
Six-Minute X-Ray,Chase Hughes,2019,2025-01-23,Kindle,Knowledge,Philosophy,,civilization,identity,ethics,,
Six-Minute X-Ray,Chase Hughes,2019,2025-01-21,Audible,Knowledge,History,,civilization,power-dynamics,strategy,,
The Decline and Fall of the Roman Empire Volume VI,Edward Gibbon,1789,2025-01-19,Audible,Knowledge,Psychology,,human-behavior,influence,power-dynamics,,
Mapping Innovation,Greg Satell,2017,2025-01-14,Kindle,Knowledge,Psychology,,human-behavior,influence,power-dynamics,,
BEYOND THE TRAP,Isabella A. Greene,2024,2025-01-11,Kindle,Knowledge,History,,civilization,power-dynamics,strategy,,
Combinators: A Centennial View,Stephen Wolfram,2024,2025-01-11,Kindle,Knowledge,Strategy,,strategy,creativity,digital,,
33 Gesetze der Strategie,Robert Greene,2007,2025-01-10,Kindle,Knowledge,Psychology,,identity,consciousness,human-behavior,,
Das Gilgamesch-Epos,Stefan M. Maul,2005,2025-01-05,Kindle,Knowledge,Science,,complexity,systems-thinking,future-scenarios,,
Secret Societies and Psychological Warfare,Michael Hoffman,2001,2025-01-05,Kindle,Knowledge,Strategy,,strategy,power-dynamics,leadership,,
Evolutionary Psychology,David M. Buss,2019,2025-01-05,Kindle,Knowledge,History,,civilization,identity,consciousness,,
Modern Man in Search of a Soul,Carl Gustav Jung,1933,2025-01-04,Kindle,Knowledge,Politics,,power-dynamics,strategy,civilization,,
Man and His Symbols,Carl Gustav Jung,1964,2025-01-04,Kindle,Knowledge,Psychology,,human-behavior,evolution,identity,,
Man and His Symbols,Carl G. Jung,1964,2025-01-04,Audible,Knowledge,Psychology,,identity,consciousness,human-behavior,,
The Molecule of More,Daniel Z. Lieberman MD & Michael E. Long,2018,2024-12-10,Audible,Knowledge,Psychology,,identity,consciousness,human-behavior,,
Das Jahrhundert der Toleranz,Richard David Precht & Martin Möller,2024,2024-12-02,Audible,Knowledge,Psychology,,identity,consciousness,human-behavior,,
Range,David Epstein,2019,2024-12-02,Audible,Knowledge,Neuroscience,,human-behavior,consciousness,health,,
Radix,A. A. Attanasio,1981,2024-12-02,Audible,Knowledge,Politics,,civilization,ethics,future-scenarios,,
Earthside,Dennis E. Taylor,2023,2024-12-02,Audible,Knowledge,Psychology,,creativity,identity,human-behavior,,
The Order of Time,Carlo Rovelli,2017,2024-11-28,Audible,Story,Hard Science,,consciousness,identity,evolution,,
Essentialism,Greg McKeown,2014,2024-11-24,Audible,Story,Hard Science,,consciousness,ai-impact,future-scenarios,,
Hagen von Tronje,Wolfgang Hohlbein,2015,2024-11-13,Audible,Knowledge,Science,,systems-thinking,complexity,chaos,,
Our Oriental Heritage,Will Durant,1935,2024-11-12,Kindle,Knowledge,Leadership,,identity,strategy,flow,,
Die große Täuschung,Thorsten Schulte & Michael Hesemann,2023,2024-11-09,Kindle,Story,Historical Fiction,,civilization,power-dynamics,identity,,
Bring es zu Ende!,Jon Acuff,2017,2024-10-30,Kindle,Knowledge,History,,civilization,identity,power-dynamics,,
The Reveal,David Icke,2023,2024-10-30,Audible,Knowledge,Politics,,power-dynamics,chaos,civilization,,
The Giza Power Plant,Christopher Dunn,1998,2024-10-30,Audible,Knowledge,Psychology,,identity,creativity,human-behavior,,
The Anatomy of Story,John Truby,2007,2024-10-29,Kindle,Knowledge,Politics,,power-dynamics,strategy,civilization,,
Out of Your Mind,Alan Watts,1962,2024-10-28,Audible,Knowledge,Philosophy,,civilization,ethics,future-scenarios,,
The Elements of User Experience,Jesse James Garrett,2010,2024-10-26,Kindle,Knowledge,Consciousness,,consciousness,identity,ethics,,
I Ging: Das Buch der Wandlungen,Richard Wilhelm,1923,2024-10-24,Kindle,Knowledge,Eastern Philosophy,,consciousness,identity,ethics,,
This Is How You Lose the Time War,Amal El-Mohtar & Max Gladstone,2019,2024-10-21,Audible,Story,Literary Fiction,,civilization,identity,chaos,,
Dopamine Nation,Dr. Anna Lembke,2021,2024-10-17,Audible,Knowledge,Consciousness,,consciousness,identity,ethics,,
The Seven Labyrinths,Clem Samson,2023,2024-10-07,Kindle,Knowledge,Design,,user-experience,customer-centricity,product-thinking,,
Transformed,Marty Cagan & Lea Hickman & Chris Jones & Christian Idiodi & John Moore,2024,2024-09-27,Kindle,Knowledge,Eastern Philosophy,,consciousness,identity,ethics,,
Homo Reloaded,Carlos Alberto Bisceglia,2024,2024-09-24,Kindle,Story,Near Future,,chaos,civilization,ai-impact,,
Elements of Data Strategy,Boyan Angelov,2024,2024-09-24,Kindle,Knowledge,Neuroscience,,health,human-behavior,consciousness,,
Caesar and Christ,Will Durant,1944,2024-09-20,Audible,Story,Thriller,,chaos,power-dynamics,identity,,
The Life of Greece,Will Durant,1939,2024-09-20,Audible,Knowledge,Product,,product-thinking,agile,customer-centricity,,
Creating Christ,James S. Valliant & C. W. Fahy,2016,2024-09-13,Audible,Knowledge,Anthropology,,evolution,civilization,consciousness,,
Autobiography of a Yogi,Paramahansa Yogananda,1946,2024-08-23,Kindle,Knowledge,AI,,ai-impact,digital,strategy,,
Behave,Robert M. Sapolsky,2017,2024-08-19,Audible,Knowledge,History,,civilization,power-dynamics,strategy,,
Existential Physics,Sabine Hossenfelder,2022,2024-08-19,Audible,Knowledge,History,,civilization,power-dynamics,identity,,
Journeys Out of the Body,Robert Monroe,1971,2024-08-16,Audible,Knowledge,History,,civilization,identity,ethics,,
Gematrix: Die Sprache der Kabale,C. Aldenbrock,2023,2024-08-14,Kindle,Knowledge,Eastern Philosophy,,consciousness,identity,ethics,,
Stalking the Wild Pendulum,Itzhak Bentov,1977,2024-08-12,Audible,Knowledge,Neuroscience,,human-behavior,evolution,identity,,
More Secrets of Consulting,Gerald Weinberg,1999,2024-08-11,Kindle,Knowledge,Science,,complexity,chaos,consciousness,,
Ojos de agua,Domingo Villar,2019,2024-08-10,Audible,Knowledge,Consciousness,,consciousness,identity,chaos,,
Die Letzte Flotte,Joshua Tree,2024,2024-08-08,Audible,Knowledge,Consciousness,,consciousness,identity,ethics,,
An Elementary Introduction to the Wolfram Language,Stephen Wolfram,2015,2024-08-06,Kindle,Knowledge,Consciousness,,consciousness,identity,chaos,,
Der Bitcoin-Gelduntergang,Christian Rieck,2023,2024-08-06,Kindle,Knowledge,Leadership,,leadership,strategy,influence,,
Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,2024-08-02,Audible,Story,Crime,,identity,power-dynamics,,,
Why We Sleep,Matthew Walker,2017,2024-08-02,Audible,Story,Space Opera,,civilization,chaos,ai-impact,,
Determined,Robert M. Sapolsky,2023,2024-08-01,Audible,Knowledge,Neuroscience,,human-behavior,ethics,identity,consciousness,
Supercommunicators,Charles Duhigg,2024,2024-07-29,Audible,Knowledge,Communication,,human-behavior,influence,leadership,identity,
Supercommunicators,Charles Duhigg,2024,2024-07-28,Kindle,Knowledge,Communication,,human-behavior,influence,leadership,identity,
Dragonslayer,Craig Alanson,2023,2024-07-24,Audible,Story,Space Opera,,civilization,future-scenarios,chaos,ai-impact,
Outland,Dennis E. Taylor,2023,2024-07-24,Audible,Story,Hard Science,,future-scenarios,chaos,civilization,,
AI: Unexplainable Unpredictable Uncontrollable,Roman V. Yampolskiy,2024,2024-07-20,Kindle,Knowledge,AI,,ai-impact,ethics,future-scenarios,complexity,
End Times,Peter Turchin,2023,2024-07-20,Audible,Knowledge,History,,civilization,power-dynamics,complexity,systems-thinking,
Stadt der goldenen Schatten,Tad Williams,1996,2024-07-18,Audible,Story,High Fantasy,,identity,power-dynamics,civilization,,
2025 - Das Endspiel,Joachim Sonntag,2024,2024-07-15,Kindle,Knowledge,Politics,,future-scenarios,power-dynamics,civilization,,
Escaping from Eden,Paul Wallis,2020,2024-07-13,Audible,Knowledge,Philosophy,,consciousness,identity,civilization,ethics,
Wenn das die Menschheit wüsste...,Daniel Prinz & Jan van Helsing,2019,2024-07-08,Kindle,Knowledge,Philosophy,,power-dynamics,consciousness,identity,ethics,
Wir töten die halbe Menschheit,Eileen DeRolf & Jan van Helsing & Andreas Ungerer,2020,2024-07-08,Kindle,Knowledge,Philosophy,,power-dynamics,ethics,civilization,health,
Die Herren des Westens,David Eddings & Lore Strassl,1992,2024-07-02,Audible,Story,High Fantasy,,civilization,power-dynamics,identity,,
Our Oriental Heritage,Will Durant,1935,2024-07-01,Audible,Knowledge,History,,civilization,history,power-dynamics,,
The Hydrogen Sonata,Iain M. Banks,2012,2024-07-01,Audible,Story,Space Opera,,civilization,ai-impact,consciousness,future-scenarios,
The Gulag Archipelago,Aleksandr Solzhenitsyn,1973,2024-06-27,Audible,Knowledge,History,,power-dynamics,civilization,ethics,identity,
Die verblödete Republik,Thomas Wieczorek,2019,2024-06-25,Kindle,Knowledge,Politics,,power-dynamics,civilization,ethics,,
A Project to Find the Fundamental Theory of Physics,Stephen Wolfram,2020,2024-06-25,Kindle,Knowledge,Science,,complexity,systems-thinking,future-scenarios,consciousness,
Die Psychologie des Totalitarismus,Prof. Mattias Desmet,2022,2024-06-20,Audible,Knowledge,Psychology,,power-dynamics,human-behavior,civilization,ethics,
Just So,Alan Watts,1995,2024-06-07,Audible,Knowledge,Eastern Philosophy,,consciousness,identity,ethics,,
The Big Picture,Sean Carroll,2016,2024-06-04,Kindle,Knowledge,Science,,consciousness,complexity,future-scenarios,evolution,
The Big Picture,Sean Carroll,2016,2024-06-04,Audible,Knowledge,Science,,consciousness,complexity,future-scenarios,evolution,
The Science of Self-Discipline,Peter Hollins,2018,2024-06-03,Audible,Knowledge,Psychology,,human-behavior,identity,flow,,
Reality Is Not What It Seems,Carlo Rovelli,2014,2024-05-26,Audible,Knowledge,Science,,consciousness,complexity,systems-thinking,future-scenarios,
Glück,Matthieu Ricard,2003,2024-05-25,Audible,Knowledge,Eastern Philosophy,,consciousness,identity,ethics,,
Saviors of God,Nikos Kazantzakis,1927,2024-05-23,Kindle,Knowledge,Philosophy,,consciousness,ethics,identity,,
Reality Unveiled,Ziad Masri,2017,2024-05-22,Kindle,Knowledge,Consciousness,,consciousness,identity,ethics,future-scenarios,
Reality Unveiled,Ziad Masri,2017,2024-05-22,Audible,Knowledge,Consciousness,,consciousness,identity,ethics,future-scenarios,
Slow Productivity,Cal Newport,2024,2024-05-20,Kindle,Knowledge,Leadership,,flow,delivery,business-value,identity,
Gnosticism: From Nag Hammadi to the Gospel of Judas,David Brakke,2015,2024-05-19,Audible,Knowledge,Philosophy,,consciousness,identity,ethics,history,
The Second Law,Stephen Wolfram,2023,2024-05-15,Kindle,Knowledge,Science,,complexity,systems-thinking,emergence,future-scenarios,
Twenty Years of A New Kind of Science,Stephen Wolfram,2022,2024-05-15,Kindle,Knowledge,Science,,complexity,systems-thinking,emergence,,
Get Better at Anything,Scott H. Young,2024,2024-05-09,Kindle,Knowledge,Psychology,,identity,human-behavior,creativity,,
A Field Guide to Lies and Statistics,Daniel Levitin,2016,2024-05-08,Kindle,Knowledge,Communication,,human-behavior,ethics,strategy,,
A Field Guide to Climate Anxiety,Sarah Jaquette Ray,2020,2024-05-08,Kindle,Knowledge,Health,,ethics,future-scenarios,civilization,human-behavior,
Rest,Alex Soojung-Kim Pang,2016,2024-05-08,Audible,Knowledge,Psychology,,flow,identity,human-behavior,,
A Field Guide to Lies and Statistics,Daniel Levitin,2016,2024-05-08,Audible,Knowledge,Communication,,human-behavior,ethics,strategy,,
Systemische Fragetechniken,Karin Reuter,2019,2024-05-06,Kindle,Knowledge,Communication,,influence,leadership,human-behavior,,
The Art of Focus,Dan Koe,2024,2024-05-06,Kindle,Knowledge,Psychology,,identity,flow,creativity,human-behavior,
Million Dollar Weekend,Noah Kagan,2024,2024-05-06,Kindle,Knowledge,Startup,,business-value,strategy,creativity,,
The Art of Focus,Dan Koe,2024,2024-05-06,Audible,Knowledge,Psychology,,identity,flow,creativity,human-behavior,
Hidden Potential,Adam Grant,2023,2024-05-03,Audible,Knowledge,Psychology,,identity,creativity,leadership,human-behavior,
Visionary,Graham Hancock,2022,2024-04-29,Audible,Knowledge,Consciousness,,consciousness,identity,evolution,future-scenarios,
The Believing Brain,Michael Shermer,2011,2024-04-25,Kindle,Knowledge,Psychology,,human-behavior,consciousness,ethics,,
The Believing Brain,Michael Shermer,2011,2024-04-25,Audible,Knowledge,Psychology,,human-behavior,consciousness,ethics,,
Neuroscience and Critical Thinking,Albert Rutherford,2019,2024-04-25,Audible,Knowledge,Neuroscience,,human-behavior,consciousness,ethics,,
Computer Systems: A Programmer's Perspective,Randal Bryant & David O'Hallaron,2015,2024-04-24,Kindle,Reference,Technical,,delivery,systems-thinking,,,
LEAVING THE TRAP,Isabella A. Greene,2024,2024-04-23,Kindle,Knowledge,Psychology,,identity,consciousness,ethics,human-behavior,
The Trap,David Icke,2016,2024-04-23,Kindle,Knowledge,Philosophy,,power-dynamics,consciousness,ethics,civilization,
Convergence,Craig Alanson,2020,2024-04-23,Audible,Story,Space Opera,,civilization,ai-impact,future-scenarios,,
Das indoktrinierte Gehirn,Dr. med. Michael Nehls,2023,2024-04-23,Audible,Knowledge,Psychology,,human-behavior,consciousness,power-dynamics,,
The Psychology of Conspiracy Theories,Jan-Willem Van Prooijen,2018,2024-04-23,Audible,Knowledge,Psychology,,human-behavior,consciousness,ethics,,
Buchinger Heilfasten,Andreas Buchinger,2019,2024-04-18,Kindle,Knowledge,Health,,health,identity,,,
Neuroscience and Critical Thinking,Albert Rutherford,2019,2024-04-18,Kindle,Knowledge,Neuroscience,,human-behavior,consciousness,ethics,,
Exploring Requirements 1,Donald C. Gause & Gerald M Weinberg,1989,2024-04-17,Kindle,Reference,Technical,,delivery,systems-thinking,,,
The 33 Strategies Of War,Robert Greene,2006,2024-04-17,Kindle,Knowledge,Strategy,,strategy,power-dynamics,leadership,,
Mastery,Robert Greene,2012,2024-04-17,Kindle,Knowledge,Strategy,,strategy,leadership,identity,creativity,
A World Without Email,Cal Newport,2021,2024-04-16,Kindle,Knowledge,Leadership,,leadership,flow,delivery,digital,
Driven,Paul R. Lawrence & Nitin Nohria,2002,2024-04-15,Kindle,Knowledge,Psychology,,human-behavior,identity,evolution,,
The Dream,David Icke,2023,2024-04-15,Audible,Knowledge,Philosophy,,power-dynamics,consciousness,ethics,civilization,
The Universe,Anvay Bartakke,2024,2024-03-31,Kindle,Knowledge,Science,,complexity,systems-thinking,future-scenarios,,
The Trap,David Icke,2016,2024-03-27,Audible,Knowledge,Philosophy,,power-dynamics,consciousness,ethics,civilization,
Food Of The Gods,Terence McKenna,1992,2024-03-17,Kindle,Knowledge,Consciousness,,consciousness,evolution,future-scenarios,identity,
Terence Mckenna Speaks,Terence McKenna,2017,2024-03-17,Audible,Knowledge,Consciousness,,consciousness,evolution,future-scenarios,identity,
Anleitung zur Selbstüberlistung,Christian Rieck,2020,2024-03-17,Audible,Knowledge,Psychology,,human-behavior,strategy,identity,,
Die linke Hand der Dunkelheit,Ursula K. Le Guin,1969,2024-03-17,Audible,Story,Classic SF,,power-dynamics,identity,civilization,,
You're It!,Alan Watts,1973,2024-03-10,Audible,Knowledge,Consciousness,,consciousness,identity,ethics,,
The Almanack of Naval Ravikant,Eric Jorgenson,2020,2024-03-08,Kindle,Knowledge,Leadership,,leadership,strategy,business-value,identity,
Million Dollar Weekend,Noah Kagan & Tahl Raz,2024,2024-03-08,Audible,Knowledge,Startup,,business-value,strategy,delivery,,
The Man in the High Castle,Philip K. Dick,1962,2024-03-06,Audible,Story,Classic SF,,power-dynamics,civilization,identity,,
Slow Productivity,Cal Newport,2024,2024-03-05,Audible,Knowledge,Leadership,,flow,delivery,identity,human-behavior,
Fahrenheit 451,Ray Bradbury,1953,2024-03-05,Audible,Story,Hard Science,,consciousness,identity,civilization,,
Unlearning Strategy,Jeroen Kraaijenbrink,2024,2024-03-03,Kindle,Knowledge,Politics,,power-dynamics,civilization,ethics,,
Spaceman of Bohemia,Jaroslav Kalfar,2017,2024-02-25,Audible,Knowledge,Communication,,influence,strategy,human-behavior,,
Glaube wenig hinterfrage alles denke selbst,Albrecht Müller,2019,2024-02-24,Audible,Knowledge,Economics,,strategy,human-behavior,systems-thinking,,
Hook Point,Brendan Kane,2020,2024-02-20,Kindle,Knowledge,Science,,complexity,systems-thinking,future-scenarios,,
Same as Ever,Morgan Housel,2023,2024-02-20,Audible,Story,Crime,,identity,human-behavior,,,
Unsettled,Steven E. Koonin,2021,2024-02-10,Audible,Knowledge,Psychology,,flow,identity,human-behavior,,
Achtsam morden durch bewusste Ernährung,Karsten Dusse,2021,2024-02-10,Audible,Knowledge,Consciousness,,consciousness,evolution,identity,,
Flow (German edition),Mihaly Csikszentmihalyi,1990,2024-02-05,Audible,Knowledge,Complexity,,systems-thinking,complexity,emergence,digital,
Alchemical Ayahuasca,Alan Waugh,2020,2024-02-02,Kindle,Knowledge,Politics,,power-dynamics,ethics,civilization,,
Explorations in Information Space,Max H. Boisot & Ian C. MacMillan & Kyeong Seok Han,2014,2024-02-02,Kindle,Knowledge,Leadership,,leadership,flow,delivery,digital,
BEHIND THE GREEN MASK,Rosa Koire,2011,2024-02-01,Kindle,Knowledge,Psychology,,human-behavior,identity,leadership,,
Digital Minimalism,Cal Newport,2019,2024-01-16,Audible,Knowledge,Agile & Lean,Scrum,agile,delivery,leadership,business-agility,
Ultralearning,Scott H. Young,2019,2024-01-16,Audible,Knowledge,Philosophy,,consciousness,identity,ethics,complexity,
Surrounded by Psychopaths,Thomas Erikson,2020,2024-01-11,Kindle,Knowledge,Philosophy,,consciousness,identity,ethics,complexity,
Facilitating Professional Scrum Teams,Patricia Kong & Glaudia Califano & David Spinks,2020,2024-01-11,Kindle,Knowledge,Psychology,,identity,ethics,leadership,human-behavior,
The Science Delusion,Rupert Sheldrake,2012,2024-01-09,Kindle,Story,Business Fiction,,leadership,agile,delivery,business-agility,
The Science Delusion,Rupert Sheldrake,2012,2024-01-09,Audible,Knowledge,Anthropology,,civilization,evolution,complexity,emergence,
Beyond Order,Jordan B. Peterson,2021,2024-01-08,Audible,Knowledge,Psychology,,human-behavior,identity,creativity,,
The Team That Managed Itself,Christina Wodtke,2020,2024-01-08,Audible,Knowledge,Communication,,creativity,influence,delivery,,
A Theory of Everyone,Michael Muthukrishna,2023,2024-01-05,Kindle,Knowledge,Consciousness,,consciousness,identity,evolution,,
The Psychology of Fashion,Carolyn Mair,2018,2024-01-01,Audible,Knowledge,Economics,,human-behavior,strategy,systems-thinking,,
Writing That Works 3rd Edition,Kenneth Roman & Joel Raphaelson,2000,2023-12-31,Kindle,Knowledge,Anthropology,,civilization,evolution,complexity,emergence,
The Immortality Key,Brian C. Muraresku & Graham Hancock,2020,2023-12-28,Audible,Knowledge,Agile & Lean,Scrum,agile,delivery,leadership,business-agility,
When to Rob a Bank,Steven D. Levitt & Stephen J. Dubner,2014,2023-12-21,Audible,Knowledge,Communication,,influence,strategy,human-behavior,,
A Theory of Everyone,Michael Muthukrishna,2023,2023-12-20,Audible,Knowledge,Strategy,,strategy,business-value,systems-thinking,,
The One-Hour Strategy,Jeroen Kraaijenbrink,2019,2023-12-16,Kindle,Knowledge,Strategy,,strategy,business-value,systems-thinking,,
Political Order and Political Decay,Francis Fukuyama,2014,2023-12-15,Audible,Knowledge,Politics,,civilization,power-dynamics,strategy,,
The Parasitic Mind,Gad Saad,2020,2023-12-13,Audible,Knowledge,Psychology,,human-behavior,identity,ethics,,
The Great Awakening,Alex Jones & Kent Heckenlively,2023,2023-12-08,Audible,Knowledge,Politics,,power-dynamics,influence,civilization,,
10% Happier 10th Anniversary,Dan Harris,2014,2023-11-25,Kindle,Knowledge,Consciousness,,consciousness,identity,human-behavior,,
10% Happier Revised Edition,Dan Harris,2014,2023-11-25,Audible,Knowledge,Consciousness,,consciousness,identity,human-behavior,,
Wie der Teufel die Welt beherrscht 1,Zhihong Zheng,2020,2023-11-16,Audible,Knowledge,Politics,,power-dynamics,civilization,influence,,
Maxims for Thinking Analytically,Dan Levy,2021,2023-11-12,Kindle,Knowledge,Philosophy,,human-behavior,ethics,strategy,,
Die 7 Techniken der Konfliktlösung,Gerard Shaw,2022,2023-11-08,Kindle,Knowledge,Communication,,influence,human-behavior,leadership,,
Metaphysik,Aristoteles & Franz F. Schwarz,2008,2023-11-08,Kindle,Knowledge,Philosophy,,consciousness,ethics,systems-thinking,,
Discovering Kanban,David Anderson,2014,2023-11-08,Kindle,Knowledge,Agile & Lean,Kanban,agile,flow,delivery,,
The PARA Method,Tiago Forte,2022,2023-11-07,Kindle,Knowledge,Organization,,flow,delivery,identity,,
Clear Thinking,Shane Parrish,2023,2023-11-07,Kindle,Knowledge,Psychology,,human-behavior,strategy,identity,,
SAFe® Coaches Handbook,Darren Wilmshurst & Lindy Quick,2020,2023-11-07,Kindle,Knowledge,Agile & Lean,SAFe,agile,delivery,business-agility,,
Clear Thinking,Shane Parrish,2023,2023-10-30,Audible,Knowledge,Psychology,,human-behavior,strategy,identity,,
Mache die Welt,Richard David Precht,2018,2023-10-25,Audible,Knowledge,Philosophy,,ethics,civilization,future-scenarios,,
Rewired,Eric Lamarre & Kate Smaje & Rodney Zemmel,2023,2023-10-15,Kindle,Knowledge,Organization,,digital,business-agility,delivery,,
Agile Meetings und Workshops,Claudia Thonet,2020,2023-10-15,Kindle,Knowledge,Agile & Lean,,agile,delivery,flow,,
Cold Reading,Stefan F.M. Dittrich,2019,2023-10-14,Kindle,Knowledge,Psychology,,human-behavior,influence,identity,,
Die Magie des Fragens,Klaus Grochowiak & Stefan Heiligtag,2020,2023-10-14,Kindle,Knowledge,Communication,,influence,human-behavior,leadership,,
Going Infinite,Michael Lewis,2023,2023-10-12,Audible,Knowledge,Biography,,power-dynamics,ethics,human-behavior,,
Manufacturing Consent,Edward S. Herman & Noam Chomsky,1988,2023-10-05,Kindle,Knowledge,Politics,,power-dynamics,influence,civilization,,
The Essential Chomsky,Noam Chomsky & Anthony Arnove,2008,2023-10-05,Audible,Knowledge,Politics,,power-dynamics,civilization,ethics,,
The Precipice,Noam Chomsky & C. J. Polychroniou,2021,2023-10-05,Audible,Knowledge,Politics,,power-dynamics,civilization,future-scenarios,,
The Great Reset,Elizabeth Rose,2023,2023-10-04,Audible,Knowledge,Politics,,power-dynamics,civilization,future-scenarios,,
Surrounded by Idiots,Thomas Erikson,2014,2023-10-02,Kindle,Knowledge,Psychology,,human-behavior,identity,influence,,
Die Waffen des Lichts,Ken Follett,2020,2023-09-30,Audible,Story,Thriller,,civilization,power-dynamics,ethics,,
Außerirdisch,Dennis E. Taylor,2019,2023-09-29,Audible,Story,Hard Science,,future-scenarios,ai-impact,consciousness,,
Cognitive Behavioral Therapy Made Simple,Seth J. Gillihan PhD,2018,2023-09-27,Audible,Knowledge,Psychology,,human-behavior,identity,health,,
Essence of Software Engineering,Ivar Jacobson & Pan-Wei Ng & Paul McMahon & Ian Spence & Svante Lidman,2013,2023-09-20,Kindle,Knowledge,Computer Science,,delivery,systems-thinking,agile,,
Creating Agile Organizations,Cesario Ramos & Illia Pavhlichenko,2019,2023-09-19,Kindle,Knowledge,Agile & Lean,,agile,business-agility,organization,,
Elon Musk,Walter Isaacson,2023,2023-09-15,Audible,Knowledge,Biography,,leadership,strategy,digital,,
Die Waffe,Brandon Q. Morris,2019,2023-09-15,Audible,Story,Hard Science,,future-scenarios,ai-impact,ethics,,
Physics of the Impossible,Michio Kaku,2008,2023-09-15,Audible,Knowledge,Science,,future-scenarios,ai-impact,creativity,,
Mythology,Edith Hamilton & Aphrodite Trust & Apollo Trust,1942,2023-09-13,Kindle,Knowledge,Anthropology,,civilization,identity,human-behavior,,
The Real Anthony Fauci,Robert F. Kennedy Jr.,2021,2023-09-13,Audible,Knowledge,Politics,,power-dynamics,ethics,health,,
Make It So,Wess Roberts & Bill Ross,1995,2023-09-10,Kindle,Story,Business Fiction,,leadership,strategy,ethics,,
Der ganz formale Wahnsinn,Stefan Kühl,2020,2023-09-09,Kindle,Knowledge,Organization,,power-dynamics,systems-thinking,delivery,,
21 Lessons for the 21st Century,Yuval Noah Harari,2018,2023-09-07,Kindle,Knowledge,Anthropology,,civilization,future-scenarios,human-behavior,,
Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011,2023-09-07,Kindle,Knowledge,Anthropology,,civilization,human-behavior,evolution,,
Warum schweigen die Lämmer?,Rainer Mausfeld,2018,2023-09-05,Audible,Knowledge,Politics,,power-dynamics,influence,civilization,,
Kognitive Kriegsführung,Jonas Tögel,2023,2023-09-04,Kindle,Knowledge,Politics,,power-dynamics,influence,civilization,,
Die Jungsteinzeit,Ernst Probst,2015,2023-08-30,Kindle,Knowledge,History,,civilization,human-behavior,evolution,,
Die Altsteinzeit,Ernst Probst,2015,2023-08-30,Kindle,Knowledge,History,,civilization,human-behavior,evolution,,
The Great Reset,Alex Jones,2020,2023-08-27,Audible,Knowledge,Politics,,power-dynamics,civilization,future-scenarios,,
Grundlagen der Unternehmensberatung,Dirk Lippold,2016,2023-08-23,Kindle,Knowledge,Strategy,,strategy,business-value,leadership,,
Awaken the Giant Within,Tony Robbins,1991,2023-08-22,Kindle,Knowledge,Psychology,,identity,leadership,human-behavior,,
Innovationen und Erfindungen,Vaclav Smil,2023,2023-08-20,Kindle,Knowledge,Science,,creativity,evolution,digital,,
Der Persönlichkeits-Code,Ulrich Oldehaver & Youri Keifens,2020,2023-08-20,Kindle,Knowledge,Psychology,,identity,human-behavior,influence,,
BDD in Action Second Edition,John Ferguson Smart & Jan Molak,2023,2023-08-14,Kindle,Knowledge,Computer Science,,delivery,agile,product-thinking,,
Unleash the Power Within,Tony Robbins,2013,2023-08-13,Audible,Knowledge,Psychology,,identity,leadership,human-behavior,,
Designing for Modern Learning,Crystal Kadakia & Lisa M.D. Owens,2021,2023-08-10,Kindle,Knowledge,Design,,design-thinking,learning,customer-centricity,,
Discover Your True North,Bill George,2015,2023-08-10,Audible,Knowledge,Leadership,,leadership,identity,ethics,,
Naked Statues Fat Gladiators and War Elephants,Garrett Ryan,2021,2023-08-08,Kindle,Knowledge,History,,civilization,human-behavior,strategy,,
Wie Sie in 60 Sekunden Ihr Leben verändern,Richard Wiseman,2009,2023-08-08,Kindle,Knowledge,Psychology,,human-behavior,identity,influence,,
The Psychological Safety Playbook,Karolin Helbig & Minette Norman,2021,2023-08-02,Kindle,Knowledge,Leadership,,leadership,human-behavior,business-agility,,
Understanding Organizations...Finally!,Henry Mintzberg,2021,2023-08-02,Kindle,Knowledge,Organization,,systems-thinking,power-dynamics,leadership,,
Pan-Europa,Richard Coudenhove-Kalergi,1923,2023-08-01,Kindle,Knowledge,Politics,,civilization,strategy,power-dynamics,,
Wort sei Dank,Shelle Rose Charvet,2019,2023-07-28,Kindle,Knowledge,Communication,,influence,human-behavior,identity,,
The Selfish Gene,Richard Dawkins,1976,2023-07-25,Audible,Knowledge,Science,,evolution,human-behavior,systems-thinking,,
